import time: self [us] | cumulative | imported package
import time:      2036 |       2036 |           asyncio.threads
import time:      1997 |       1997 |             _overlapped
import time:       762 |        762 |             asyncio.base_subprocess
import time:       956 |        956 |             asyncio.proactor_events
import time:      1165 |       1165 |                 select
import time:      1538 |       2702 |               selectors
import time:       899 |       3600 |             asyncio.selector_events
import time:      2840 |       2840 |                       posix
import time:      2882 |       2882 |                       posix
import time:       314 |       6034 |                     posixpath
import time:      1156 |       7190 |                   fnmatch
import time:       119 |        119 |                   zlib
import time:      1146 |       1146 |                       compression
import time:       606 |       1752 |                     compression._common
import time:       646 |        646 |                     compression._common._streams
import time:      1253 |       1253 |                     _bz2
import time:      1494 |       5144 |                   bz2
import time:      1140 |       1140 |                     _lzma
import time:      1268 |       2407 |                   lzma
import time:      1163 |       1163 |                     _zstd
import time:       689 |        689 |                     compression.zstd._zstdfile
import time:      1092 |       2944 |                   compression.zstd
import time:      1525 |      19326 |                 shutil
import time:        54 |         54 |                     _bisect
import time:      2748 |       2802 |                   bisect
import time:        33 |         33 |                   _random
import time:      2567 |       5401 |                 random
import time:      1369 |      26096 |               tempfile
import time:       621 |      26716 |             asyncio.windows_utils
import time:      2206 |      36236 |           asyncio.windows_events
import time:      1561 |      92474 |         asyncio
import time:      5492 |      97965 |       google.auth._regional_access_boundary_utils
import time:      2660 |       2660 |           _wmi
import time:      1918 |       4577 |         platform
import time:      4966 |       9542 |       google.auth.metrics
import time:      6757 |       6757 |       google.auth._credentials_base
import time:      4335 |       4335 |       google.auth._refresh_worker
import time:      5849 |     264164 |     google.auth.credentials
import time:      2189 |       2189 |         glob
import time:      2660 |       2660 |         pwd
import time:      2171 |       2171 |         grp
import time:      1788 |       1788 |           fcntl
import time:      1725 |       1725 |           posix
import time:      1059 |       4572 |         pathlib._os
import time:      4345 |      15934 |       pathlib
import time:      1805 |       1805 |           http
import time:       853 |        853 |             email.feedparser
import time:       537 |       1390 |           email.parser
import time:      1333 |       4526 |         http.client
import time:      6734 |      11260 |       google.auth.transport
import time:      3252 |       3252 |         numbers
import time:      9643 |       9643 |             urllib3.exceptions
import time:      4009 |       4009 |                     urllib3.util.timeout
import time:      8219 |      12227 |                   urllib3.util.connection
import time:      6635 |       6635 |                     urllib3.util.util
import time:      2513 |       2513 |                     brotlicffi
