import time: self [us] | cumulative | imported package
import time:      6466 |       6466 |               google.api_core.grpc_helpers_async
import time:      6431 |      12897 |             google.api_core.gapic_v1.method_async
import time:      6963 |       6963 |             google.api_core.gapic_v1.routing_header
import time:      6336 |     197337 |           google.api_core.gapic_v1
import time:      6664 |       6664 |           google.cloud._helpers
import time:      7082 |       7082 |             grpc._channel
import time:      6460 |      13542 |           google.cloud.exceptions
import time:      6702 |       6702 |           google.cloud.firestore_v1.transforms
import time:      6198 |       6198 |           google.cloud.firestore_v1.field_path
import time:      6017 |       6017 |           google.cloud.firestore_v1.vector
import time:      5231 |     439496 |         google.cloud.firestore_v1._helpers
import time:      5927 |       5927 |             google.cloud.firestore_v1.base_document
import time:      5954 |      11881 |           google.cloud.firestore_v1.base_batch
import time:      5780 |      17661 |         google.cloud.firestore_v1.async_batch
import time:      5726 |       5726 |                 google.cloud.firestore_v1.batch
import time:      5992 |       5992 |                 google.cloud.firestore_v1.base_transaction
import time:      6626 |       6626 |                     google.api_core.bidi
import time:      6402 |      13028 |                   google.cloud.firestore_v1.watch
import time:      5953 |      18980 |                 google.cloud.firestore_v1.document
import time:      7440 |       7440 |                         google.cloud.firestore_v1.pipeline_types
import time:      7294 |      14734 |                       google.cloud.firestore_v1.pipeline_expressions
import time:      5866 |      20599 |                     google.cloud.firestore_v1.base_aggregation
import time:      9121 |       9121 |                       google.cloud.firestore_v1.query_profile
import time:      5847 |      14968 |                     google.cloud.firestore_v1.query_results
import time:      6276 |       6276 |                     google.cloud.firestore_v1.stream_generator
import time:      5395 |      47236 |                   google.cloud.firestore_v1.aggregation
import time:      5791 |       5791 |                     google.cloud.firestore_v1.base_vector_query
import time:      5914 |       5914 |                     google.cloud.firestore_v1.order
import time:      6478 |      18182 |                   google.cloud.firestore_v1.base_query
import time:      5664 |       5664 |                   google.cloud.firestore_v1.vector_query
import time:      6435 |      77515 |                 google.cloud.firestore_v1.query
import time:      6113 |     114323 |               google.cloud.firestore_v1.transaction
import time:      5801 |       5801 |               google.cloud.firestore_v1.async_stream_generator
import time:      6377 |     126500 |             google.cloud.firestore_v1.async_aggregation
import time:      7749 |       7749 |               google.cloud.firestore_v1.async_vector_query
import time:      5802 |      13551 |             google.cloud.firestore_v1.async_query
import time:      9100 |       9100 |             google.cloud.firestore_v1.base_collection
import time:      6103 |     155253 |           google.cloud.firestore_v1.async_collection
import time:      6158 |       6158 |           google.cloud.firestore_v1.async_document
import time:      6798 |       6798 |             google.cloud.firestore_v1.pipeline_stages
import time:     11717 |      11717 |             google.cloud.firestore_v1.base_pipeline
import time:      6616 |       6616 |             google.cloud.firestore_v1.pipeline_result
import time:     10110 |      35240 |           google.cloud.firestore_v1.async_pipeline
import time:     11824 |      11824 |           google.cloud.firestore_v1.async_transaction
import time:      9401 |       9401 |             google.api_core.client_options
import time:      5425 |       5425 |             google.api_core.path_template
import time:      6710 |       6710 |               google.auth.api_key
import time:      9311 |      16021 |             google.cloud.client
import time:      7868 |       7868 |               google.cloud.firestore_v1.bulk_batch
import time:     10962 |      10962 |               google.cloud.firestore_v1.rate_limiter
import time:     14095 |      32925 |             google.cloud.firestore_v1.bulk_writer
import time:      9911 |       9911 |             google.cloud.firestore_v1.pipeline_source
import time:      6520 |       6520 |               google.cloud.firestore_v1.services
import time:      3611 |       3611 |                 google.cloud.location
import time:      3394 |       3394 |                   google.api
import time:      7217 |       7217 |                     google.api.http_pb2
import time:     13585 |      20801 |                   google.api.annotations_pb2
import time:      5787 |       5787 |                     google.api.launch_stage_pb2
import time:     10243 |      16029 |                   google.api.client_pb2
import time:     12871 |      53094 |                 google.cloud.location.locations_pb2
import time:      6049 |       6049 |                 google.longrunning
import time:      4950 |       4950 |                       google.protobuf.empty_pb2
import time:      8124 |       8124 |                       google.longrunning.operations_proto_pb2
import time:      7913 |      20986 |                     google.longrunning.operations_pb2_grpc
import time:      4893 |      25879 |                   google.longrunning.operations_grpc_pb2
import time:      7389 |      33268 |                 google.longrunning.operations_pb2
import time:      6726 |       6726 |                 google.cloud.firestore_v1.services.firestore.pagers
import time:      6516 |       6516 |                   google.api_core.client_logging
import time:     11690 |      11690 |                       google.cloud.firestore_v1.services.firestore.transports.base
import time:      7719 |       7719 |                       google.cloud.firestore_v1.services.firestore.transports.grpc
import time:      6745 |       6745 |                       google.cloud.firestore_v1.services.firestore.transports.grpc_asyncio
import time:      7826 |       7826 |                         google.api_core.rest_helpers
import time:      8651 |       8651 |                           google.api_core._rest_streaming_base
import time:      5899 |      14549 |                         google.api_core.rest_streaming
import time:     10722 |      10722 |                         google.cloud.firestore_v1.services.firestore.transports.rest_base
import time:      6884 |      39980 |                       google.cloud.firestore_v1.services.firestore.transports.rest
import time:      6902 |      73034 |                     google.cloud.firestore_v1.services.firestore.transports
import time:        28 |      73061 |                   google.cloud.firestore_v1.services.firestore.transports.base
import time:      9132 |      88709 |                 google.cloud.firestore_v1.services.firestore.client
import time:     15117 |     206570 |               google.cloud.firestore_v1.services.firestore.async_client
import time:     13693 |     226782 |             google.cloud.firestore_v1.services.firestore
import time:      6400 |     306862 |           google.cloud.firestore_v1.base_client
import time:      5982 |     521318 |         google.cloud.firestore_v1.async_client
import time:      5635 |       5635 |           google.cloud.firestore_v1.collection
import time:      9437 |       9437 |           google.cloud.firestore_v1.pipeline
import time:      9387 |      24458 |         google.cloud.firestore_v1.client
import time:      7483 |    1443488 |       google.cloud.firestore_v1
import time:      7189 |    1450676 |     google.cloud.firestore
import time:      4313 |    1684167 |   firebase_admin.firestore
import time:      9047 |       9047 |       google.cloud.storage.version
import time:      1181 |       1181 |         email.generator
import time:       594 |        594 |           email.mime
import time:      2566 |       2566 |                   email._header_value_parser
import time:      1005 |       3570 |                 email.headerregistry
import time:       896 |        896 |                 email.contentmanager
import time:       814 |       5280 |               email.policy
import time:       494 |       5773 |             email.mime.base
import time:       685 |       6458 |           email.mime.nonmultipart
import time:      3128 |      10179 |         email.mime.application
import time:      1886 |       1886 |         email.mime.multipart
import time:      9079 |       9079 |             google.cloud.version
import time:      5574 |      14653 |           google.cloud._http
import time:      1464 |       1464 |             secrets
import time:      7354 |       7354 |                     google.resumable_media.common
import time:      7755 |      15109 |                   google.resumable_media
import time:      4874 |      19982 |                 google.cloud.storage.exceptions
import time:      4858 |      24840 |               google.cloud.storage.retry
import time:      6285 |       6285 |               opentelemetry
import time:      8659 |       8659 |                   opentelemetry.context.context
import time:      5023 |       5023 |                   opentelemetry.context.contextvars_context
import time:      8716 |       8716 |                   opentelemetry.environment_variables
import time:      5392 |      27788 |                 opentelemetry.context
import time:      3208 |       3208 |                   opentelemetry.util
import time:     10691 |      10691 |                   opentelemetry.util.types
import time:      6281 |      20180 |                 opentelemetry.attributes
import time:      5387 |       5387 |                     opentelemetry.trace.status
import time:      7801 |      13188 |                   opentelemetry.trace.span
import time:      9714 |      22901 |                 opentelemetry.trace.propagation
import time:      9776 |       9776 |                 opentelemetry.util._decorator
import time:      5691 |       5691 |                 opentelemetry.util._once
import time:      9079 |       9079 |                 opentelemetry.util._providers
import time:      8609 |     104021 |               opentelemetry.trace
import time:      7398 |     142542 |             google.cloud.storage._opentelemetry_tracing
import time:      5245 |       5245 |             google.cloud.storage.constants
import time:      5630 |     154879 |           google.cloud.storage._helpers
import time:      5469 |     175000 |         google.cloud.storage._http
import time:      9429 |     197674 |       google.cloud.storage.batch
import time:      5708 |       5708 |         google.api_core.iam
import time:      8342 |       8342 |             google.cloud.storage._media.common
import time:     10610 |      18951 |           google.cloud.storage._media
import time:      6019 |       6019 |               google.cloud.storage._media._helpers
import time:      9287 |      15305 |             google.cloud.storage._media._download
import time:      9414 |       9414 |             google.cloud.storage._media.requests._request_helpers
import time:      8078 |      32796 |           google.cloud.storage._media.requests.download
import time:      1967 |       1967 |                 xml
import time:       932 |       2898 |               xml.etree
import time:       862 |        862 |                 xml.etree.ElementPath
import time:      1834 |       1834 |                   pyexpat
import time:      1889 |       3723 |                 _elementtree
import time:      1485 |       6069 |               xml.etree.ElementTree
import time:     10198 |      19164 |             google.cloud.storage._media._upload
import time:      6199 |      25363 |           google.cloud.storage._media.requests.upload
import time:      9315 |      86423 |         google.cloud.storage._media.requests
import time:      9381 |       9381 |         google.cloud.storage._signing
import time:      5504 |       5504 |         google.cloud.storage.acl
import time:      8554 |       8554 |         google.cloud.storage.fileio
import time:     12312 |     127881 |       google.cloud.storage.blob
import time:      8804 |       8804 |         google.cloud.storage.ip_filter
import time:      5354 |       5354 |         google.cloud.storage.notification
import time:      7095 |      21252 |       google.cloud.storage.bucket
import time:      5887 |       5887 |         google.api_core.page_iterator
import time:      7626 |       7626 |           google.cloud.storage._lru_cache
import time:      4959 |      12585 |         google.cloud.storage._bucket_metadata_cache
import time:      5598 |       5598 |         google.cloud.storage.hmac_key
import time:      8037 |      32104 |       google.cloud.storage.client
import time:      9677 |     397632 |     google.cloud.storage
import time:      5529 |     403160 |   firebase_admin.storage
import time:     10468 |      10468 |   firebase_functions
import time:      2166 |       2166 |                 socketserver
import time:      1449 |       1449 |                     html.entities
import time:      1687 |       3135 |                   html
import time:      1266 |       4401 |                 http.server
import time:      8836 |       8836 |                 werkzeug._internal
import time:      7894 |       7894 |                     markupsafe._speedups
import time:     12000 |      19894 |                   markupsafe
import time:      6631 |      26524 |                 werkzeug.exceptions
import time:      6961 |       6961 |                         werkzeug.datastructures.mixins
import time:     11267 |      18227 |                       werkzeug.datastructures.structures
import time:     12527 |      30754 |                     werkzeug.datastructures.accept
import time:     11018 |      11018 |                     werkzeug.datastructures.auth
import time:      6712 |       6712 |                     werkzeug.datastructures.cache_control
import time:      9368 |       9368 |                     werkzeug.datastructures.csp
import time:      5743 |       5743 |                     werkzeug.datastructures.etag
import time:      6208 |       6208 |                       werkzeug.datastructures.headers
import time:      9109 |      15317 |                     werkzeug.datastructures.file_storage
import time:     10416 |      10416 |                     werkzeug.datastructures.range
import time:      6245 |      95570 |                   werkzeug.datastructures
import time:      7778 |       7778 |                   werkzeug.sansio
import time:     13682 |      13682 |                   werkzeug.sansio.http
import time:     10751 |     127779 |                 werkzeug.http
import time:     12032 |      12032 |                 werkzeug.urls
import time:      4983 |       4983 |                       colorama.ansi
import time:      9460 |       9460 |                         colorama.win32
import time:      4952 |      14412 |                       colorama.winterm
import time:     10878 |      30272 |                     colorama.ansitowin32
import time:     13004 |      43276 |                   colorama.initialise
import time:     10462 |      53737 |                 colorama
import time:     11464 |     246936 |               werkzeug.serving
import time:     13877 |      13877 |                 werkzeug.sansio.multipart
import time:      5715 |       5715 |                   werkzeug.security
import time:     11407 |      11407 |                     werkzeug.sansio.utils
import time:     13613 |      25019 |                   werkzeug.wsgi
import time:      6832 |      37565 |                 werkzeug.utils
import time:     30859 |      30859 |                       werkzeug.formparser
import time:      6768 |       6768 |                         werkzeug.user_agent
import time:     14702 |      21470 |                       werkzeug.sansio.request
import time:     13546 |      65874 |                     werkzeug.wrappers.request
import time:     30893 |      30893 |                       werkzeug.sansio.response
import time:     13060 |      43952 |                     werkzeug.wrappers.response
import time:      6593 |     116418 |                   werkzeug.wrappers
import time:        75 |     116493 |                 werkzeug.wrappers.request
import time:     15046 |     182980 |               werkzeug.test
import time:      6830 |     436744 |             werkzeug
import time:     13505 |     450248 |           werkzeug.local
import time:      7379 |     457626 |         flask.globals
import time:      2885 |       2885 |             _decimal
import time:      2570 |       5454 |           decimal
import time:     34033 |      39487 |         flask.json.provider
import time:      8513 |     505625 |       flask.json
import time:     13331 |      13331 |           werkzeug.routing.converters
import time:      3791 |       3791 |             difflib
import time:     12122 |      15913 |           werkzeug.routing.exceptions
import time:      2835 |       2835 |             pprint
import time:     11393 |      11393 |               werkzeug.routing.rules
import time:      6068 |      17461 |             werkzeug.routing.matcher
import time:     10143 |      30439 |           werkzeug.routing.map
import time:      8805 |      68485 |         werkzeug.routing
import time:      9448 |       9448 |                   blinker._utilities
import time:      7938 |      17386 |                 blinker.base
import time:     11335 |      28720 |               blinker
import time:      5367 |      34087 |             flask.signals
import time:      9029 |      43116 |           flask.helpers
import time:      6507 |      49623 |         flask.cli
import time:      5853 |       5853 |         flask.typing
import time:      9848 |       9848 |         flask.ctx
import time:      3563 |       3563 |           flask.sansio
import time:      5707 |       5707 |           flask.config
import time:      5005 |       5005 |           flask.logging
import time:      8868 |       8868 |               jinja2.bccache
import time:     11288 |      11288 |                   jinja2.utils
import time:      6823 |      18110 |                 jinja2.nodes
import time:     12428 |      12428 |                   jinja2.exceptions
import time:     10815 |      10815 |                     jinja2.visitor
import time:      6182 |      16997 |                   jinja2.idtracking
import time:      5450 |       5450 |                   jinja2.optimizer
import time:      7989 |      42862 |                 jinja2.compiler
import time:     11230 |      11230 |                     jinja2.async_utils
import time:      6104 |       6104 |                     jinja2.runtime
import time:     11677 |      29010 |                   jinja2.filters
import time:      5662 |       5662 |                   jinja2.tests
import time:      8274 |      42945 |                 jinja2.defaults
import time:      6796 |       6796 |                   jinja2._identifier
import time:     11432 |      18228 |                 jinja2.lexer
import time:     11397 |      11397 |                 jinja2.parser
import time:     11868 |     145408 |               jinja2.environment
import time:      5625 |       5625 |               jinja2.loaders
import time:     10636 |     170535 |             jinja2
import time:     10482 |     181017 |           flask.templating
import time:     12188 |      12188 |           flask.sansio.scaffold
import time:     11978 |     219455 |         flask.sansio.app
import time:      4938 |       4938 |               itsdangerous.exc
import time:     11192 |      16129 |             itsdangerous.encoding
import time:      6197 |       6197 |               itsdangerous.signer
import time:      4662 |      10858 |             itsdangerous.serializer
import time:      4692 |       4692 |             itsdangerous.timed
import time:      7392 |       7392 |               itsdangerous._json
import time:      5256 |      12648 |             itsdangerous.url_safe
import time:     12568 |      56893 |           itsdangerous
import time:      5014 |       5014 |           flask.json.tag
import time:      5385 |      67291 |         flask.sessions
import time:      4159 |       4159 |         flask.wrappers
import time:     10449 |     435161 |       flask.app
import time:      5026 |       5026 |         flask.sansio.blueprints
import time:      7162 |      12187 |       flask.blueprints
import time:     10370 |     963342 |     flask
import time:      5776 |       5776 |         flask_cors.core
import time:      9731 |      15506 |       flask_cors.decorator
import time:      8572 |       8572 |       flask_cors.extension
import time:       612 |        612 |         importlib.metadata._text
import time:      1169 |       1780 |       importlib.metadata._adapters
import time:     26236 |      52094 |     flask_cors
import time:       992 |        992 |         logging.handlers
import time:      1684 |       2675 |       logging.config
import time:      6754 |       6754 |         cloudevents
import time:      9165 |      15918 |       cloudevents.exceptions
import time:      6358 |       6358 |               cloudevents.abstract.event
import time:      5526 |      11883 |             cloudevents.abstract
import time:      4579 |       4579 |             cloudevents.sdk
import time:      4779 |       4779 |                 cloudevents.sdk.exceptions
import time:      9757 |       9757 |                 cloudevents.sdk.types
import time:     38467 |      38467 |                   cloudevents.sdk.event
import time:     10555 |      10555 |                   cloudevents.sdk.event.base
import time:      5104 |      54125 |                 cloudevents.sdk.converters.base
import time:     13294 |      13294 |                 cloudevents.sdk.converters.util
import time:      6201 |       6201 |                   cloudevents.sdk.event.opt
import time:      4390 |      10591 |                 cloudevents.sdk.event.v1
import time:      4066 |       4066 |                 cloudevents.sdk.event.v03
import time:      8156 |     104767 |               cloudevents.sdk.converters.binary
import time:      3977 |       3977 |               cloudevents.sdk.converters.structured
import time:      8081 |     116824 |             cloudevents.sdk.converters
import time:      4334 |       4334 |             cloudevents.sdk.marshaller
import time:      4647 |     142267 |           cloudevents.conversion
import time:      9413 |       9413 |           cloudevents.http.event
import time:      9740 |     161419 |         cloudevents.http.conversion
import time:      5604 |       5604 |             packaging
import time:      9230 |       9230 |             packaging.version
import time:      7319 |      22152 |           deprecation
import time:      4142 |      26294 |         cloudevents.http.event_type
import time:      4596 |       4596 |         cloudevents.http.http_methods
import time:      4234 |       4234 |         cloudevents.http.json_methods
import time:      8664 |     205206 |       cloudevents.http
import time:      4153 |       4153 |         functions_framework.exceptions
import time:      8497 |      12650 |       functions_framework._function_registry
import time:      3761 |       3761 |       functions_framework._typed_event
import time:      5731 |       5731 |         functions_framework.background_event
import time:      4401 |       4401 |           google.cloud.functions
import time:      6249 |       6249 |             google.cloud.functions_v1
import time:      5822 |      12070 |           google.cloud.functions_v1.context
import time:      5185 |      21655 |         google.cloud.functions.context
import time:      4114 |      31499 |       functions_framework.event_conversion
import time:      4040 |       4040 |       functions_framework.execution_id
import time:      9983 |     285730 |     functions_framework
import time:      4436 |       4436 |       firebase_functions.logger
import time:      7420 |      11855 |     firebase_functions.core
import time:      4045 |       4045 |       firebase_functions.private
import time:      3790 |       3790 |               jwt.exceptions
import time:      4131 |       4131 |               jwt.types
import time:      6652 |       6652 |               jwt.utils
import time:      4329 |      18900 |             jwt.algorithms
import time:      7783 |      26683 |           jwt.api_jwk
import time:      3514 |       3514 |             jwt.warnings
import time:      4061 |       7574 |           jwt.api_jws
import time:      6904 |       6904 |           jwt.api_jwt
import time:      3647 |       3647 |             jwt.jwk_set_cache
import time:      4230 |       7876 |           jwt.jwks_client
import time:      5012 |      54048 |         jwt
import time:      4147 |      58195 |       firebase_admin.app_check
import time:      3742 |       3742 |             firebase_admin._auth_utils
import time:      5643 |       5643 |               firebase_admin._rfc3339
import time:      4159 |       4159 |               firebase_admin._user_identifier
import time:      5119 |       5119 |               firebase_admin._user_import
import time:      6588 |      21508 |             firebase_admin._user_mgt
import time:      3931 |      29181 |           firebase_admin._auth_providers
import time:      3836 |       3836 |             firebase_admin._retry
import time:      6100 |       9935 |           firebase_admin._http_client
import time:      3790 |       3790 |                 cachecontrol.cache
import time:      7910 |       7910 |                       msgpack.exceptions
import time:      4374 |       4374 |                       msgpack.ext
import time:      4721 |       4721 |                       msgpack._cmsgpack
import time:      5383 |      22387 |                     msgpack
import time:      3929 |      26315 |                   cachecontrol.serialize
import time:      6433 |      32748 |                 cachecontrol.controller
import time:       122 |        122 |                   mmap
import time:      6355 |       6477 |                 cachecontrol.filewrapper
import time:      5451 |      48465 |               cachecontrol.adapter
import time:      3950 |       3950 |               cachecontrol.wrapper
import time:     12460 |      64874 |             cachecontrol
import time:      8854 |       8854 |             google.oauth2.id_token
import time:      4301 |      78029 |           firebase_admin._token_gen
import time:      6113 |     123256 |         firebase_admin._auth_client
import time:      4057 |     127313 |       firebase_admin.auth
import time:      8980 |     198532 |     firebase_functions.private.util
import time:        44 |         44 |           _sysconfig
import time:      1907 |       1951 |         zoneinfo._tzpath
import time:       854 |        854 |         zoneinfo._common
import time:      3781 |       3781 |         _zoneinfo
import time:      1467 |       8052 |       zoneinfo
import time:     13032 |      13032 |         firebase_functions.params
import time:      7571 |      20603 |       firebase_functions.private.manifest
import time:      5469 |       5469 |       firebase_functions.private.path_pattern
import time:     29885 |      64007 |     firebase_functions.options
import time:     11255 |    1586813 |   firebase_functions.https_fn
import time:      5148 |       5148 |   auth_helpers
import time:      5081 |       5081 |     infrastructure
import time:     60262 |      65343 |   infrastructure.firebase_setup
import time:      8568 |       8568 |     core
import time:      6665 |      15233 |   core.utils
import time:      3517 |       3517 |   infrastructure.google_maps_api
import time:      5808 |       5808 |         sentry_sdk._compat
import time:      3782 |       3782 |         sentry_sdk._types
import time:      4418 |       4418 |         sentry_sdk.consts
import time:      1976 |       1976 |         gevent
import time:      2186 |       2186 |         greenlet
import time:      2494 |       2494 |         gevent
import time:      5571 |      26233 |       sentry_sdk.utils
import time:      5836 |      32069 |     sentry_sdk.metrics
import time:      6046 |       6046 |         sentry_sdk._lru_cache
import time:      4365 |       4365 |           sentry_sdk.session
import time:      4089 |       8453 |         sentry_sdk.envelope
import time:      3949 |       3949 |         sentry_sdk.profiler.utils
import time:      4649 |       4649 |           gevent
import time:       131 |       4779 |         gevent.monkey
import time:      5609 |      28834 |       sentry_sdk.profiler.continuous_profiler
import time:      1879 |       1879 |           gevent
import time:        26 |       1904 |         gevent.monkey
import time:      4474 |       6378 |       sentry_sdk.profiler.transaction_profiler
import time:      4289 |      39499 |     sentry_sdk.profiler
import time:      4404 |       4404 |       sentry_sdk.attachments
import time:      4527 |       4527 |             sentry_sdk.traces
import time:      5234 |       9760 |           sentry_sdk.tracing_utils
import time:      4654 |      14413 |         sentry_sdk.tracing
import time:      3891 |      18303 |       sentry_sdk.feature_flags
import time:      3812 |       3812 |           sentry_sdk._batcher
import time:      3742 |       7554 |         sentry_sdk._metrics_batcher
import time:      3831 |       3831 |         sentry_sdk._span_batcher
import time:      3733 |       3733 |         sentry_sdk.data_collection
import time:      4266 |       4266 |         sentry_sdk.integrations
import time:      6350 |       6350 |         sentry_sdk.integrations.dedupe
import time:      3696 |       3696 |         sentry_sdk.monitor
import time:      3601 |       3601 |         sentry_sdk.scrubber
import time:       155 |        155 |           array
import time:      4058 |       4213 |         sentry_sdk.serializer
import time:      4392 |       4392 |         sentry_sdk.sessions
import time:      1491 |       1491 |           gzip
import time:      2122 |       2122 |           brotli
import time:      3900 |       3900 |               httpcore._models
import time:      5461 |       5461 |                       httpcore._backends
import time:      6289 |       6289 |                       httpcore._exceptions
import time:      3785 |       3785 |                       httpcore._utils
import time:      3760 |       3760 |                       httpcore._backends.base
import time:      5854 |      25147 |                     httpcore._backends.sync
import time:      3523 |       3523 |                     httpcore._ssl
import time:      1973 |       1973 |                       trio
import time:      7813 |       7813 |                           anyio._core
import time:      6037 |      13849 |                         anyio._core._contextmanagers
import time:      5634 |       5634 |                           anyio._core._exceptions
import time:      2480 |       2480 |                           sniffio
import time:      3770 |      11882 |                         anyio._core._eventloop
import time:      3516 |       3516 |                           anyio.to_thread
import time:      7238 |       7238 |                             anyio.abc._eventloop
import time:      3922 |       3922 |                             anyio.abc._resources
import time:      6072 |       6072 |                               anyio._core._typedattr
import time:      3972 |       3972 |                                 anyio.abc._tasks
import time:      4310 |       8281 |                               anyio.abc._streams
import time:      4093 |      18445 |                             anyio.abc._sockets
import time:      6525 |       6525 |                             anyio.abc._subprocesses
import time:      4729 |       4729 |                             anyio.abc._testing
import time:      6659 |       6659 |                               anyio.lowlevel
import time:      5069 |       5069 |                               anyio._core._tasks
import time:      3576 |       3576 |                               anyio._core._testing
import time:      6275 |      21577 |                             anyio._core._synchronization
import time:      7154 |       7154 |                             anyio.from_thread
import time:      5395 |      74982 |                           anyio.abc
import time:      1011 |       1011 |                           pathlib.types
import time:      4782 |      84290 |                         anyio._core._fileio
import time:      3910 |       3910 |                         anyio._core._resources
import time:      3507 |       3507 |                         anyio._core._signals
import time:      4374 |       4374 |                             anyio.streams
import time:      6176 |      10550 |                           anyio.streams.stapled
import time:      8666 |       8666 |                           anyio.streams.tls
import time:      6921 |      26136 |                         anyio._core._sockets
import time:      5609 |       5609 |                           anyio.streams.memory
import time:      4061 |       9670 |                         anyio._core._streams
import time:     10514 |      10514 |                         anyio._core._subprocesses
import time:      4201 |       4201 |                         anyio._core._tempfile
import time:      5046 |     173001 |                       anyio
import time:      6807 |     181780 |                     httpcore._synchronization
import time:      7041 |       7041 |                     httpcore._trace
import time:      3480 |       3480 |                             h11._abnf
import time:      5978 |       5978 |                               h11._util
import time:      4298 |      10276 |                             h11._headers
import time:      6509 |      20264 |                           h11._events
import time:      5189 |       5189 |                             h11._receivebuffer
import time:      5253 |       5253 |                             h11._state
import time:      4552 |      14993 |                           h11._readers
import time:      7528 |       7528 |                           h11._writers
import time:      7926 |      50710 |                         h11._connection
import time:      6616 |       6616 |                         h11._version
import time:      5832 |      63157 |                       h11
import time:      3941 |       3941 |                       httpcore._sync.interfaces
import time:      4316 |      71413 |                     httpcore._sync.http11
import time:      9512 |     298414 |                   httpcore._sync.connection
import time:      3894 |       3894 |                   httpcore._sync.connection_pool
import time:      6232 |       6232 |                   httpcore._sync.http_proxy
import time:      5117 |       5117 |                       h2
import time:      7925 |      13042 |                     h2.config
import time:      7653 |       7653 |                           hpack.exceptions
import time:      3708 |       3708 |                             hpack.huffman
import time:      5103 |       5103 |                             hpack.huffman_constants
import time:      5890 |       5890 |                             hpack.huffman_table
import time:      3725 |       3725 |                             hpack.struct
import time:      3597 |       3597 |                             hpack.table
import time:      5015 |      27036 |                           hpack.hpack
import time:      5035 |      39724 |                         hpack
import time:        31 |      39754 |                       hpack.exceptions
import time:      8783 |       8783 |                         hyperframe
import time:      5336 |      14119 |                       hyperframe.exceptions
import time:      6419 |       6419 |                         hyperframe.flags
import time:      3912 |      10331 |                       hyperframe.frame
import time:      3937 |       3937 |                       h2.errors
import time:      4290 |       4290 |                           h2.exceptions
import time:      5780 |      10070 |                         h2.settings
import time:      6482 |      16552 |                       h2.events
import time:      3819 |       3819 |                       h2.frame_buffer
import time:      4349 |       4349 |                         h2.utilities
import time:      3640 |       3640 |                         h2.windows
import time:      7016 |      15004 |                       h2.stream
import time:      4774 |     108287 |                     h2.connection
import time:      5072 |     126399 |                   httpcore._sync.http2
import time:      3029 |       3029 |                     socksio
import time:      5251 |       8279 |                   httpcore._sync.socks_proxy
import time:      4362 |     447578 |                 httpcore._sync
import time:        42 |     447620 |               httpcore._sync.connection_pool
import time:      5453 |     456971 |             httpcore._api
import time:      6366 |       6366 |                 httpcore._backends.auto
import time:      3645 |       3645 |                   httpcore._async.interfaces
import time:      4424 |       8068 |                 httpcore._async.http11
import time:      5246 |      19679 |               httpcore._async.connection
import time:      3810 |       3810 |               httpcore._async.connection_pool
import time:      6651 |       6651 |               httpcore._async.http_proxy
import time:      4081 |       4081 |               httpcore._async.http2
import time:      1933 |       1933 |                 socksio
import time:      3683 |       5616 |               httpcore._async.socks_proxy
import time:      4252 |      44087 |             httpcore._async
import time:      6128 |       6128 |             httpcore._backends.mock
import time:      3851 |       3851 |             httpcore._backends.anyio
import time:      2106 |       2106 |               trio
import time:      3655 |       5761 |             httpcore._backends.trio
import time:      5445 |     522241 |           httpcore
import time:      4101 |       4101 |             sentry_sdk._queue
import time:      6410 |      10510 |           sentry_sdk.worker
import time:      4567 |     540928 |         sentry_sdk.transport
import time:      4669 |     587228 |       sentry_sdk.client
import time:      4687 |     614621 |     sentry_sdk.scope
import time:      6055 |       6055 |       sentry_sdk._init_implementation
import time:      5533 |       5533 |         sentry_sdk.crons.api
import time:      5578 |       5578 |         sentry_sdk.crons.consts
import time:      5023 |       5023 |         sentry_sdk.crons.decorator
import time:      4961 |      21093 |       sentry_sdk.crons
import time:      4689 |      31836 |     sentry_sdk.api
import time:      3628 |       3628 |     sentry_sdk.debug
import time:      4005 |       4005 |     sentry_sdk.hub
import time:      8814 |     734470 |   sentry_sdk
import time:      2469 |       2469 |       django
import time:        47 |       2515 |     django.conf
import time:      6479 |       8994 |   sentry_sdk.spotlight
import time:      3446 |       3446 |   sentry_sdk.logger
import time:       677 |        677 |   concurrent.futures.thread
import time:      3157 |       3157 |         django
import time:        32 |       3189 |       django.http
import time:        72 |       3261 |     django.http.request
import time:      5281 |       8541 |   sentry_sdk.integrations._wsgi_common
import time:      1804 |       1804 |   aiohttp
import time:      4156 |       4156 |         sentry_sdk.ai.consts
import time:      7803 |      11959 |       sentry_sdk.ai.utils
import time:      3804 |      15763 |     sentry_sdk.ai
import time:      3803 |      19566 |   sentry_sdk.ai.monitoring
import time:      1943 |       1943 |   anthropic
import time:      3710 |       3710 |   anthropic
import time:      1871 |       1871 |   anthropic
import time:      1887 |       1887 |     arq
import time:        32 |       1918 |   arq.worker
import time:      1881 |       1881 |   asyncpg
import time:      1813 |       1813 |   botocore
import time:      3498 |       3498 |     sentry_sdk._werkzeug
import time:      4864 |       8362 |   sentry_sdk.integrations.wsgi
import time:      1968 |       1968 |   bottle
import time:      3796 |       3796 |     sentry_sdk.integrations.celery.utils
import time:      1951 |       1951 |     celery
import time:      6694 |      12440 |   sentry_sdk.integrations.celery.beat
import time:      4022 |       4022 |     sentry_sdk.integrations.cloud_resource_context
import time:      4206 |       8228 |   sentry_sdk.integrations.aws_lambda
